Date,GDP
2014-10-25,1490566678650.9622
2014-10-26,1488607452804.451
2014-10-27,1486650345740.328
2014-10-28,1484695385175.2039
2014-10-29,1482742598874.0894
2014-10-30,1480792014650.396
2014-10-31,1478843660365.9355
2014-11-01,1476897563930.919
2014-11-02,1474953753303.9592
2014-11-03,1473012256492.0684
2014-11-04,1471073101550.6592
2014-11-05,1469136316583.5444
2014-11-06,1467201929742.938
2014-11-07,1465269969229.4536
2014-11-08,1463340463292.1047
2014-11-09,1461413440228.3062
2014-11-10,1459488928383.872
2014-11-11,1457566956153.018
2014-11-12,1455647551978.359
2014-11-13,1453730744350.9102
2014-11-14,1451816561810.0874
2014-11-15,1449905032943.7073
2014-11-16,1447996186387.986
2014-11-17,1446090050827.541
2014-11-18,1444186654995.3884
2014-11-19,1442286027672.9463
2014-11-20,1440388197690.032
2014-11-21,1438493193924.8638
2014-11-22,1436601045304.0596
2014-11-23,1434711780802.6387
2014-11-24,1432825429444.0195
2014-11-25,1430942020300.0215
2014-11-26,1429061582490.8647
2014-11-27,1427184145185.1682
2014-11-28,1425309737599.9526
2014-11-29,1423438389000.6382
2014-11-30,1421570128701.0461
2014-12-01,1419704986063.3975
2014-12-02,1417842990498.3135
2014-12-03,1415984171464.816
2014-12-04,1414128558470.327
2014-12-05,1412276181070.669
2014-12-06,1410427068870.0642
2014-12-07,1408581251521.1362
2014-12-08,1406738758724.9082
2014-12-09,1404899620230.8035
2014-12-10,1403063865836.6462
2014-12-11,1401231525388.6606
2014-12-12,1399402628781.4712
2014-12-13,1397577205958.1025
2014-12-14,1395755286909.9802
2014-12-15,1393936901676.9294
2014-12-16,1392122080347.1763
2014-12-17,1390310853057.3462
2014-12-18,1388503249992.4663
2014-12-19,1386699301385.963
2014-12-20,1384899037519.663
2014-12-21,1383102488723.794
2014-12-22,1381309685376.9836
2014-12-23,1379520657906.2598
2014-12-24,1377735436787.0505
2014-12-25,1375954052543.1846
2014-12-26,1374176535746.891
2014-12-27,1372402917018.7988
2014-12-28,1370633227027.9375
2014-12-29,1368867496491.7363
2014-12-30,1367105756176.0264
2014-12-31,1365348036895.0376
2015-01-01,1363594369511.401
2015-01-02,1361844784936.147
2015-01-03,1360099314128.7073
2015-01-04,1358357988096.914
2015-01-05,1356620837896.9985
2015-01-06,1354887894633.5933
2015-01-07,1353159189459.731
2015-01-08,1351434753576.8442
2015-01-09,1349714618234.7666
2015-01-10,1347998814731.7314
2015-01-11,1346287374414.3726
2015-01-12,1344580328677.724
2015-01-13,1342877708965.2207
2015-01-14,1341179546768.6973
2015-01-15,1339485873628.3884
2015-01-16,1337796721132.9294
2015-01-17,1336112120919.3564
2015-01-18,1334432104673.1055
2015-01-19,1332756704128.0127
2015-01-20,1331085951066.3147
2015-01-21,1329419877318.6484
2015-01-22,1327758514764.0508
2015-01-23,1326101895329.9602
2015-01-24,1324450050992.2136
2015-01-25,1322803013775.0498
2015-01-26,1321160815751.1067
2015-01-27,1319523489041.4236
2015-01-28,1317891065815.4395
2015-01-29,1316263578290.9937
2015-01-30,1314641058734.3262
2015-01-31,1313023539460.0767
2015-02-01,1311411052831.2856
2015-02-02,1309803631259.3936
2015-02-03,1308201307204.2415
2015-02-04,1306604113174.0708
2015-02-05,1305012081725.5234
2015-02-06,1303425245463.6404
2015-02-07,1301843637041.8645
2015-02-08,1300267289162.0383
2015-02-09,1298696234574.4043
2015-02-10,1297130506077.606
